batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=02.ckpt,2,0.4230555555555556,7,128,27.1862,4.3061,0.001,4.5388,1.21,4.2653,0.6842,-620.9231,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0015,0.1918
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=03.ckpt,3,0.4280555555555556,7,128,28.8529,4.2835,0.0011,4.5051,1.2135,4.6257,0.68,-654.7053,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.1975
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=04.ckpt,4,0.43472222222222223,7,128,29.9765,4.2588,0.0012,4.4822,1.2026,4.8902,0.6909,-670.4227,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2016
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=05.ckpt,5,0.43944444444444447,7,128,31.4795,4.1831,0.0013,4.4332,1.2107,4.6155,0.6827,-697.8855,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2051
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=06.ckpt,6,0.44222222222222224,7,128,31.6006,4.1457,0.0013,4.4058,1.1926,5.0481,0.7029,-705.3911,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.202
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=07.ckpt,7,0.44166666666666665,7,128,31.6974,4.0325,0.0012,4.4165,1.1867,5.7643,0.7106,-694.8164,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2087
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=08.ckpt,8,0.45305555555555554,7,128,33.5762,4.0234,0.0013,4.3295,1.1875,5.5492,0.7091,-741.9735,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2135
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=09.ckpt,9,0.4477777777777778,7,128,32.4792,3.927,0.0013,4.3059,1.1609,5.6525,0.7419,-728.9562,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2057
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=10.ckpt,10,0.4597222222222222,7,128,31.7161,3.7473,0.0012,4.3409,1.1573,5.315,0.7466,-703.1912,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2098
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=11.ckpt,11,0.4625,7,128,33.4779,3.8759,0.0013,4.247,1.1546,5.8297,0.7498,-748.7827,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2088
